beatmap_set_id,title,artist,version,audit_status,ramp_family,real_ramp_score,best_run_length,best_run_start_bpm,best_run_end_bpm,best_run_bpm_span,best_run_duration_s,best_run_linear_r2,best_run_p90_gap_s,best_run_max_gap_s,best_run_jumpiness,group_unique_bpm_count,resolved_beatmap_path,audit_reasons
435387,Wh1teh Pack #1,Various Artists,DM Ashura - memeMAX,pass,linear_ramp,2833.8253694973023,474,100.0,572.9999999999986,472.99999999999864,113.996,0.9534501950093726,0.40740000000000004,9.6,0.002124735729389292,490,dataset/0/435387/Various Artists - Wh1teh Pack #1 (Wh1teh) [DM Ashura - memeMAX].osu,['long_continuous_monotonic_ramp']
2045174,deltaMAX,DM Ashura,Extra,pass,linear_ramp,2826.973378438929,473,100.0,571.9949999999975,471.9949999999975,113.891,0.9535281838184568,0.40770000000000006,9.6,0.002118666511306712,474,dataset/0/2045174/DM Ashura - deltaMAX (Niko_Plays) [Extra].osu,['long_continuous_monotonic_ramp']
1996989,SICK -Yanderu EP-,Yuyoyuppe feat. Natsuki Karin,Silent Desperation,pass,curved_or_exponential_ramp,1461.4728797167645,63,114.99999999999991,715.0000000000001,600.0000000000002,22.352,0.4485834122761131,0.18,16.695,0.028333333333333252,105,dataset/0/1996989/Yuyoyuppe feat. Natsuki Karin - SICK -Yanderu EP- (Salty Mermaid) [Silent Desperation].osu,['long_continuous_monotonic_ramp']
1756972,SUPER SEX DELIVERY 2 - ENTER THE CUM ZONE,ReeK,YOUR CUM WON'T LAST,pass,linear_ramp,1278.2049463737512,18,171.99999999999977,896.0000000000002,724.0000000000005,5.199,0.8942453321244049,0.362,0.657,0.24033149171270812,19,dataset/0/1756972/ReeK - SUPER SEX DELIVERY 2 - ENTER THE CUM ZONE (Ryax) [YOUR CUM WON'T LAST].osu,['long_continuous_monotonic_ramp']
2114541,this is what space feels like (Cut Ver.),JVKE,Space,pass,linear_ramp,1067.7038437437575,11,100.0,598.0000000000007,498.0000000000007,7.101,0.9533915050325683,1.0361999999999998,1.695,0.166666666666666,16,dataset/0/2114541/JVKE - this is what space feels like (Cut Ver.) (-[ Peachy ]-) [Space].osu,['long_continuous_monotonic_ramp']
2283870,Designant.,Designant,Infinity,pass,stepped_ramp,1066.7700398978163,51,89.9999550000225,400.0,310.0000449999775,48.412,0.8195591001632004,2.7574000000000005,13.714,0.161290299167546,52,dataset/0/2283870/Designant - Designant. (Murumoo) [Infinity].osu,['long_continuous_monotonic_ramp']
1800224,Aleph-0 (extended ver.),LeaF,Absolute Zero,pass,linear_ramp,918.635034984886,200,400.0,201.0000000000001,198.9999999999999,43.611,0.9915917733377453,0.27220000000000005,2.401,0.005025125628149847,201,dataset/0/1800224/LeaF - Aleph-0 (extended ver.) (Antipole) [Absolute Zero].osu,['long_continuous_monotonic_ramp']
286262,Lunatic Rough Party!! (Long Ver.),Camellia,Lunatic,pass,linear_ramp,701.001993641905,16,129.99999999999986,400.0,270.0000000000001,15.323,0.9698631593113621,1.6283999999999998,1.846,0.12962962962963043,38,dataset/0/286262/Camellia - Lunatic Rough Party!! (Long Ver.) (Ichigaki) [Lunatic].osu,['long_continuous_monotonic_ramp']
527220,JOMANDA,DJ YOSHITAKA,EXTREME,pass,linear_ramp,584.8097610393655,17,89.99999999999996,300.0,210.00000000000006,12.319,0.9391292995984355,0.98,3.0,0.14285714285714146,19,dataset/0/527220/DJ YOSHITAKA - JOMANDA (Fresh Chicken) [EXTREME].osu,['long_continuous_monotonic_ramp']
1975192,silly 300bpm thing,easynam,Extra,pass,linear_ramp,571.023178196374,13,284.99999999999955,46.800000000000075,238.19999999999948,7.506,0.9969539877912992,0.9022000000000001,1.0,0.15113350125944564,14,dataset/0/1975192/easynam - silly 300bpm thing (Niko_Plays) [Extra].osu,['long_continuous_monotonic_ramp']
